user_id,ndcg_at_5,recall_at_5,top5_head_share,top5_avg_train_degree
0,0.6843515475204855,0.3,0.0,10.4
1,0.3065735963827292,0.5,0.0,10.2
2,0.2960819109658652,0.3333333333333333,0.0,8.8
3,0.8687949224876582,0.5714285714285714,0.0,10.0
4,0.5531464700081437,0.2222222222222222,0.0,7.6
5,0.6992148198508501,0.6,0.4,18.4
6,0.787702056960637,0.75,0.2,14.8
7,0.2640681225725909,0.5,0.0,10.4
8,0.3391602052736161,0.16666666666666666,0.0,10.0
9,0.6992148198508501,0.5,0.2,15.4
10,0.7227265726449519,0.6,0.4,17.8
11,0.30078518014914984,0.2,0.0,8.2
12,0.6608397947263839,0.5,0.0,6.6
13,0.6992148198508501,0.2727272727272727,0.0,14.6
14,0.5531464700081437,0.3333333333333333,0.0,10.8
15,0.48522855511632257,0.3333333333333333,0.0,8.2
16,0.0,0.0,0.0,11.8
17,0.5531464700081437,0.4,0.2,12.6
18,0.7860137352654724,0.4,0.0,9.2
19,0.5706417189553201,1.0,0.0,11.8
20,0.16812753627111746,0.25,0.0,7.4
21,1.0,0.38461538461538464,0.0,11.4
22,0.8687949224876582,0.3333333333333333,0.0,10.0
24,0.14606834984270645,0.125,0.0,6.8
25,0.6992148198508501,0.6,0.0,10.8
26,1.0,0.45454545454545453,0.0,11.4
27,0.23719771276929622,0.5,0.0,8.8
28,0.5413996682199069,0.5,0.0,9.0
29,0.5531464700081437,0.4,0.0,12.6
30,1.0,0.45454545454545453,0.0,9.2
31,0.787702056960637,0.75,0.0,6.8
32,0.3391602052736161,0.16666666666666666,0.0,9.4
33,0.16958010263680806,0.16666666666666666,0.0,10.2
34,0.8687949224876582,0.8,0.0,11.8
35,0.6992148198508501,0.3333333333333333,0.4,16.4
36,0.787702056960637,0.75,0.0,7.4
37,0.5855700749881525,0.5,0.2,14.8
38,0.8687949224876582,0.5714285714285714,0.0,9.2
39,0.8687949224876582,0.3333333333333333,0.0,10.4
40,0.7227265726449519,0.3,0.0,10.6
41,0.6548086577531307,0.6,0.0,8.2
42,1.0,1.0,0.0,6.6
43,0.6992148198508501,0.5,0.2,13.8
44,0.2960819109658652,0.3333333333333333,0.0,6.6
45,0.19519002499605084,0.25,0.0,9.4
46,0.5087403079104241,0.3333333333333333,0.2,14.6
47,0.6992148198508501,0.3,0.0,10.4
48,0.6548086577531307,0.375,0.0,11.6
49,1.0,0.625,0.2,11.6
50,0.48522855511632257,0.4,0.2,15.6
51,1.0,0.3333333333333333,0.0,11.4
52,0.3391602052736161,0.2,0.0,9.4
53,0.34620964322385606,0.5,0.2,13.6
54,0.8539316501572937,0.3076923076923077,0.0,9.2
55,0.8318724637288826,0.75,0.2,14.6
56,1.0,0.5,0.0,7.8
57,0.9558295932317544,1.0,0.0,6.6
58,0.3903800499921017,0.25,0.0,13.8
59,1.0,1.0,0.2,15.0
60,0.6843515475204855,0.5,0.0,7.2
61,0.0,0.0,0.0,10.8
62,0.6131471927654584,0.5,0.0,9.0
63,0.0,0.0,0.0,10.6
64,0.24630238874073,0.25,0.4,18.8
65,0.8318724637288826,0.75,0.0,10.4
66,0.6843515475204855,0.3,0.2,13.2
67,1.0,1.0,0.2,13.2
68,0.30078518014914984,0.2857142857142857,0.0,11.8
69,0.6797310500037655,1.0,0.0,7.2
70,0.6992148198508501,0.3333333333333333,0.0,6.8
71,0.5531464700081437,0.4,0.2,13.4
72,0.18154179253735267,0.3333333333333333,0.0,14.0
73,0.6548086577531307,0.5,0.0,15.8
74,0.3065735963827292,0.5,0.0,13.6
75,0.38356636737133565,0.3333333333333333,0.0,14.6
76,0.6843515475204855,0.6,0.2,13.6
77,0.5087403079104241,0.3333333333333333,0.0,13.6
78,0.6131471927654584,0.5,0.2,22.2
79,1.0,0.35714285714285715,0.0,11.2
80,0.3903800499921017,0.25,0.0,13.2
81,0.7860137352654724,0.4444444444444444,0.4,23.4
82,0.38356636737133565,0.4,0.0,9.8
83,0.639945385422766,0.3333333333333333,0.0,8.8
84,0.8687949224876582,0.36363636363636365,0.0,12.6
85,0.4468535299918563,0.375,0.0,6.0
86,0.7227265726449519,0.6,0.0,11.8
87,0.8687949224876582,0.3076923076923077,0.0,10.2
88,0.7227265726449519,0.5,0.0,10.4
89,0.6548086577531307,0.3333333333333333,0.2,19.4
90,0.6843515475204855,0.5,0.0,12.6
91,1.0,0.8333333333333334,0.4,16.4
92,0.5012658353418871,1.0,0.2,13.8
93,0.4703652827859579,0.3333333333333333,0.0,8.8
94,1.0,1.0,0.0,9.2
95,0.6992148198508501,0.5,0.0,9.4
96,0.8318724637288826,0.75,0.0,8.4
97,0.5087403079104241,0.3333333333333333,0.0,11.6
98,0.0,0.0,0.0,8.2
99,1.0,0.38461538461538464,0.2,16.0
100,0.5437713091520254,1.0,0.0,12.2
101,1.0,0.3125,0.2,15.2
102,0.0,0.0,0.2,12.6
103,0.6992148198508501,0.42857142857142855,0.4,18.2
104,0.5531464700081437,0.3333333333333333,0.0,10.6
105,0.48522855511632257,0.4,0.0,9.6
106,0.38356636737133565,0.25,0.0,9.0
107,0.6608397947263839,0.8,0.2,18.0
109,0.639945385422766,0.2727272727272727,0.0,8.8
110,0.6164336326286644,0.5,0.4,27.4
111,0.5087403079104241,0.2857142857142857,0.2,14.2
112,0.6131471927654584,0.5,0.0,8.2
113,0.6508205185601091,0.6666666666666666,0.0,8.2
114,0.6548086577531307,0.6,0.2,14.8
115,0.7860137352654724,0.3076923076923077,0.2,13.8
116,1.0,0.3333333333333333,0.0,11.0
117,0.6992148198508501,0.375,0.0,9.2
118,0.0,0.0,0.0,5.8
119,0.5531464700081437,0.3333333333333333,0.2,16.0
120,0.3903800499921017,0.25,0.2,19.6
121,1.0,1.0,0.0,9.8
122,0.9558295932317544,1.0,0.0,12.8
123,0.20210734650054757,0.3333333333333333,0.0,9.0
124,0.7039180890341347,0.6666666666666666,0.2,14.4
125,0.6164336326286644,0.5,0.0,8.2
126,1.0,0.3125,0.2,15.0
127,1.0,0.35714285714285715,0.4,16.4
128,0.2960819109658652,0.3333333333333333,0.2,13.6
129,0.8539316501572937,0.6666666666666666,0.4,24.2
130,0.6548086577531307,0.3333333333333333,0.0,10.4
131,0.5087403079104241,0.25,0.4,25.0
132,1.0,1.0,0.2,7.8
133,1.0,0.45454545454545453,0.0,12.0
134,0.6843515475204855,0.5,0.0,13.0
135,0.6992148198508501,0.2727272727272727,0.2,13.0
136,1.0,0.38461538461538464,0.6,28.8
137,0.43067655807339306,1.0,0.2,17.2
139,0.7227265726449519,0.375,0.2,17.6
140,0.8048099750039491,0.75,0.2,12.8
141,0.8539316501572937,0.2857142857142857,0.0,7.2
142,0.44149241373678083,0.5,0.2,16.8
143,0.6164336326286644,0.3333333333333333,0.2,13.4
144,0.8318724637288826,0.75,0.4,24.2
145,0.48522855511632257,0.3333333333333333,0.4,34.6
146,0.0,0.0,0.0,12.2
148,0.6843515475204855,0.6,0.2,22.2
149,0.20210734650054757,0.3333333333333333,0.2,14.2
150,0.6131471927654584,0.5,0.0,12.6
151,1.0,0.3125,0.2,12.2
152,0.9197207891481876,1.0,0.8,38.6
153,0.5531464700081437,0.4,0.0,9.0
154,1.0,0.38461538461538464,0.2,14.8
155,0.0,0.0,0.0,10.8
156,1.0,0.3333333333333333,0.0,14.4
157,1.0,0.5,0.2,11.2
158,0.7227265726449519,0.5,0.4,33.4
159,0.6164336326286644,0.3,0.0,7.0
161,0.5531464700081437,0.2857142857142857,0.2,13.2
162,0.0,0.0,0.4,17.6
163,0.27727342735504823,0.2222222222222222,0.0,14.4
164,1.0,0.45454545454545453,0.4,19.6
165,0.14606834984270645,0.2,0.0,6.6
166,0.7227265726449519,0.6,0.0,6.8
167,0.38685280723454163,1.0,0.0,8.4
168,0.0,0.0,0.0,10.2
169,0.6131471927654584,0.5,0.0,13.4
170,0.19519002499605084,0.25,0.2,19.4
171,1.0,0.3125,0.0,12.6
172,0.5855700749881525,0.5,0.2,15.4
173,0.6843515475204855,0.6,0.2,16.2
174,0.8772153153380493,1.0,0.0,15.0
175,0.6164336326286644,0.5,0.4,21.6
176,0.8318724637288826,0.75,0.2,16.2
177,0.7860137352654724,0.4444444444444444,0.0,12.2
178,0.8854598815714874,1.0,0.0,14.6
179,0.6164336326286644,0.23076923076923078,0.0,9.4
180,0.8687949224876582,0.26666666666666666,0.0,9.2
181,0.5855700749881525,0.5,0.0,10.0
182,0.13120507751234178,0.2,0.4,17.0
183,0.5585075862632192,0.5,0.0,13.6
184,0.3391602052736161,0.14285714285714285,0.2,18.0
185,1.0,1.0,0.0,11.2
186,0.6548086577531307,0.3333333333333333,0.2,10.8
187,0.6509209298071326,1.0,0.4,23.4
188,1.0,1.0,0.2,13.2
189,0.6548086577531307,0.375,0.2,15.2
190,0.8539316501572937,0.4,0.0,11.6
191,0.639945385422766,0.23076923076923078,0.4,18.6
192,0.8503449055347546,1.0,0.2,14.6
193,0.4703652827859579,0.4,0.0,11.4
194,0.8539316501572937,0.36363636363636365,0.2,21.6
195,1.0,0.8333333333333334,0.2,15.8
196,1.0,1.0,0.2,16.2
197,0.6366824387328317,0.5,0.2,17.0
198,0.5531464700081437,0.2857142857142857,0.0,9.8
199,1.0,0.5,0.2,17.2
200,0.7860137352654724,0.3076923076923077,0.0,8.0
201,0.36005461457723403,0.3333333333333333,0.4,14.8
202,1.0,0.3333333333333333,0.0,6.8
203,0.19519002499605084,0.25,0.0,10.6
204,1.0,1.0,0.4,27.8
205,0.5531464700081437,0.3333333333333333,0.0,10.0
206,0.7860137352654724,0.5,0.2,13.6
207,1.0,0.3333333333333333,0.4,19.0
208,0.6843515475204855,0.5,0.2,13.4
209,1.0,0.3125,0.4,17.8
210,0.6843515475204855,0.5,0.4,25.2
211,0.3191471544989227,0.5,0.2,17.2
212,0.6608397947263839,0.3333333333333333,0.4,24.2
213,0.7860137352654724,0.36363636363636365,0.0,7.8
214,0.830419897363192,0.3333333333333333,0.2,12.4
215,1.0,0.4166666666666667,0.2,21.4
216,0.46927872602275644,0.3333333333333333,0.0,8.4
217,0.3903800499921017,0.25,0.2,16.8
218,0.7860137352654724,0.3333333333333333,0.2,18.6
219,1.0,1.0,0.4,26.0
220,1.0,1.0,0.2,11.0
221,0.8048099750039491,0.75,0.4,19.4
222,1.0,0.3125,0.2,16.8
223,0.5307212739772434,0.6666666666666666,0.4,17.0
224,0.830419897363192,0.36363636363636365,0.0,9.8
225,0.6366824387328317,0.5,0.2,19.6
226,0.830419897363192,0.4,0.2,18.4
227,0.8687949224876582,0.2857142857142857,0.4,17.2
228,0.0,0.0,0.0,11.0
229,0.8687949224876582,0.8,0.4,23.8
230,0.6131471927654584,0.5,0.2,17.0
231,0.9674679834891693,1.0,0.0,13.0
232,0.0,0.0,0.4,20.2
233,0.46927872602275644,0.3333333333333333,0.2,16.4
234,0.639945385422766,0.3333333333333333,0.2,16.0
235,0.6508205185601091,0.6666666666666666,0.2,16.4
236,1.0,0.3125,0.6,27.6
237,0.16958010263680806,0.14285714285714285,0.0,8.2
