user_id,ndcg_at_5,recall_at_5,top5_head_share,top5_avg_train_degree
0,0.5147714448836774,0.3,0.0,9.4
1,0.23719771276929622,0.5,0.0,11.4
2,0.38364913903790027,0.6666666666666666,0.0,8.4
3,0.6992148198508501,0.42857142857142855,0.0,8.8
4,0.6843515475204855,0.3333333333333333,0.0,10.2
5,0.6548086577531307,0.6,0.2,13.2
6,0.9828920819566879,1.0,0.4,21.8
7,0.6131471927654584,0.5,0.0,8.8
8,0.34519134224686937,0.3333333333333333,0.0,13.8
9,0.7227265726449519,0.5,0.2,16.0
10,0.639945385422766,0.6,0.4,17.8
11,0.4468535299918563,0.3,0.0,8.2
12,0.6992148198508501,0.375,0.2,12.0
13,0.6843515475204855,0.2727272727272727,0.0,10.4
14,0.4912596920895758,0.5,0.0,10.6
15,0.5531464700081437,0.3333333333333333,0.2,15.4
16,0.0,0.0,0.2,16.4
17,0.6992148198508501,0.6,0.0,12.4
18,0.4703652827859579,0.2,0.0,11.6
19,0.38685280723454163,0.5,0.0,11.8
20,0.16812753627111746,0.25,0.0,7.0
21,1.0,0.38461538461538464,0.0,13.0
22,0.8539316501572937,0.3333333333333333,0.0,12.2
24,0.3156484524795145,0.25,0.0,6.4
25,0.7227265726449519,0.6,0.0,12.0
26,0.8687949224876582,0.36363636363636365,0.2,15.4
27,0.3065735963827292,0.5,0.2,14.6
28,0.5855700749881525,0.5,0.0,7.4
29,0.639945385422766,0.6,0.0,10.6
30,1.0,0.45454545454545453,0.0,11.4
31,0.75369761125927,0.75,0.0,6.6
32,0.3156484524795145,0.3333333333333333,0.0,11.4
33,0.13120507751234178,0.16666666666666666,0.0,10.6
34,0.8687949224876582,0.8,0.0,11.8
35,1.0,0.5555555555555556,0.0,12.4
36,1.0,1.0,0.0,9.4
37,0.8048099750039491,0.75,0.0,10.8
38,0.8687949224876582,0.5714285714285714,0.0,9.8
39,0.830419897363192,0.3333333333333333,0.0,10.4
40,0.8539316501572937,0.4,0.0,11.6
41,0.5147714448836774,0.6,0.2,11.8
42,0.0,0.0,0.0,10.2
43,0.6548086577531307,0.5,0.2,14.2
44,0.4776237035032179,0.6666666666666666,0.0,6.6
45,0.3973220069685352,0.5,0.0,11.6
46,0.5087403079104241,0.3333333333333333,0.4,23.2
47,0.830419897363192,0.4,0.2,18.4
48,0.6164336326286644,0.375,0.0,11.6
49,1.0,0.625,0.2,14.6
50,0.639945385422766,0.6,0.2,16.2
51,1.0,0.3333333333333333,0.0,11.4
52,0.21398626473452756,0.2,0.0,11.2
53,0.5585075862632192,0.5,0.2,10.6
54,1.0,0.38461538461538464,0.0,12.4
55,1.0,1.0,0.0,11.6
56,0.8687949224876582,0.4,0.0,10.4
57,0.8048099750039491,0.75,0.0,8.6
58,0.3903800499921017,0.25,0.0,12.2
59,1.0,1.0,0.0,5.4
60,0.7227265726449519,0.5,0.0,9.2
61,0.0,0.0,0.0,10.6
62,0.6131471927654584,0.5,0.0,11.8
63,0.16958010263680806,0.2,0.0,12.8
64,0.9047172294870751,1.0,0.0,10.6
65,0.8318724637288826,0.75,0.0,8.4
66,1.0,0.5,0.0,9.8
67,1.0,1.0,0.2,14.6
68,0.4912596920895758,0.42857142857142855,0.0,12.2
69,0.7653606369886217,0.6666666666666666,0.0,9.6
70,0.8687949224876582,0.4444444444444444,0.0,6.8
71,0.6843515475204855,0.6,0.4,21.4
72,0.41618115554873086,0.6666666666666666,0.0,13.8
73,0.5531464700081437,0.3333333333333333,0.0,14.0
74,0.38685280723454163,0.5,0.0,15.2
75,0.5147714448836774,0.5,0.0,10.4
76,0.7860137352654724,0.8,0.2,14.4
77,0.5531464700081437,0.3333333333333333,0.0,10.8
78,0.6131471927654584,0.5,0.2,18.4
79,0.8687949224876582,0.2857142857142857,0.0,10.0
