user_id,ndcg_at_5,recall_at_5,top5_head_share,top5_avg_train_degree
0,0.4912596920895758,0.3,0.0,9.4
1,0.5012658353418871,1.0,0.0,14.2
2,0.20210734650054757,0.3333333333333333,0.0,7.4
3,0.7227265726449519,0.42857142857142855,0.0,8.8
4,0.5087403079104241,0.2222222222222222,0.0,8.6
5,0.6992148198508501,0.6,0.4,18.0
6,1.0,1.0,0.4,21.8
7,0.6131471927654584,0.5,0.0,10.0
8,0.3391602052736161,0.16666666666666666,0.0,10.6
9,1.0,0.8333333333333334,0.2,14.2
10,0.830419897363192,0.8,0.2,11.8
11,0.4912596920895758,0.3,0.0,9.2
12,0.7860137352654724,0.5,0.0,8.8
13,0.6164336326286644,0.2727272727272727,0.0,8.2
14,0.6164336326286644,0.5,0.0,12.0
15,0.6548086577531307,0.5,0.2,15.4
16,0.0,0.0,0.0,10.6
17,0.6843515475204855,0.6,0.0,13.0
18,0.4703652827859579,0.2,0.0,11.4
19,0.38685280723454163,0.5,0.0,10.6
20,0.0,0.0,0.0,6.8
21,1.0,0.38461538461538464,0.0,13.0
22,1.0,0.4166666666666667,0.0,11.2
24,0.3156484524795145,0.25,0.0,6.6
25,0.6992148198508501,0.6,0.0,13.4
26,0.8687949224876582,0.36363636363636365,0.2,15.4
27,0.6131471927654584,0.5,0.0,7.8
28,0.5855700749881525,0.5,0.0,8.6
29,0.6843515475204855,0.6,0.0,11.8
30,0.8687949224876582,0.36363636363636365,0.0,11.4
31,0.5855700749881525,0.5,0.0,7.0
32,0.3156484524795145,0.3333333333333333,0.0,11.4
33,0.21398626473452756,0.16666666666666666,0.0,10.6
34,0.8539316501572937,0.8,0.0,11.8
35,1.0,0.5555555555555556,0.0,12.4
36,1.0,1.0,0.0,8.8
37,0.6366824387328317,0.5,0.0,9.8
38,0.8687949224876582,0.5714285714285714,0.0,8.6
39,0.830419897363192,0.3333333333333333,0.0,12.4
40,0.830419897363192,0.4,0.0,11.0
41,0.5531464700081437,0.4,0.2,10.8
42,0.43067655807339306,1.0,0.0,8.2
43,0.8539316501572937,0.6666666666666666,0.0,8.8
44,0.46927872602275644,0.3333333333333333,0.2,11.0
45,0.5413996682199069,0.5,0.0,11.6
46,0.6164336326286644,0.5,0.2,15.4
47,0.7227265726449519,0.3,0.0,9.8
48,0.6164336326286644,0.375,0.0,11.6
49,1.0,0.625,0.2,11.6
50,0.48522855511632257,0.4,0.2,15.6
51,1.0,0.3333333333333333,0.0,13.4
52,0.16958010263680806,0.2,0.0,11.2
53,0.5855700749881525,0.5,0.0,5.4
54,0.8687949224876582,0.3076923076923077,0.0,9.6
55,0.8318724637288826,0.75,0.0,11.0
