user_id,ndcg_at_5,recall_at_5,top5_head_share,top5_avg_train_degree
0,0.6843515475204855,0.3,0.0,9.0
1,0.23719771276929622,0.5,0.0,11.4
2,0.18154179253735267,0.3333333333333333,0.0,7.6
3,0.830419897363192,0.5714285714285714,0.0,11.2
4,0.5531464700081437,0.2222222222222222,0.0,7.4
5,0.4912596920895758,0.6,0.2,12.6
6,0.8318724637288826,0.75,0.4,19.2
7,0.6131471927654584,0.5,0.0,8.4
8,0.30078518014914984,0.3333333333333333,0.0,13.8
9,1.0,0.8333333333333334,0.2,14.8
10,0.6992148198508501,0.6,0.4,17.8
11,0.4468535299918563,0.3,0.0,8.2
12,0.639945385422766,0.375,0.2,13.8
13,0.6843515475204855,0.2727272727272727,0.0,10.2
14,0.30078518014914984,0.3333333333333333,0.0,11.6
15,0.5531464700081437,0.3333333333333333,0.2,15.0
16,0.38685280723454163,1.0,0.0,12.4
17,0.8539316501572937,0.8,0.0,14.4
18,0.4703652827859579,0.2,0.0,11.4
19,0.6131471927654584,0.5,0.0,7.8
20,0.16812753627111746,0.25,0.0,13.2
21,0.8687949224876582,0.3076923076923077,0.0,12.4
22,1.0,0.4166666666666667,0.2,15.2
24,0.3156484524795145,0.25,0.0,6.4
25,0.8539316501572937,0.8,0.0,12.4
26,1.0,0.45454545454545453,0.2,17.6
27,0.5706417189553201,1.0,0.2,12.2
28,0.5585075862632192,0.5,0.0,8.6
29,0.5087403079104241,0.4,0.0,12.6
30,0.8539316501572937,0.36363636363636365,0.0,8.8
31,0.3903800499921017,0.25,0.0,5.4
32,0.27727342735504823,0.3333333333333333,0.0,11.4
33,0.0,0.0,0.0,8.0
34,0.8687949224876582,0.8,0.0,11.8
35,0.830419897363192,0.4444444444444444,0.2,15.8
36,1.0,1.0,0.0,8.8
37,0.8318724637288826,0.75,0.0,10.8
38,0.8539316501572937,0.5714285714285714,0.0,9.2
39,0.830419897363192,0.3333333333333333,0.0,12.6
40,0.6992148198508501,0.3,0.0,10.6
41,0.5147714448836774,0.6,0.2,10.6
42,0.0,0.0,0.0,8.4
43,0.7227265726449519,0.5,0.0,9.4
44,0.4776237035032179,0.6666666666666666,0.0,6.6
45,0.16812753627111746,0.25,0.0,9.6
46,0.6548086577531307,0.5,0.2,15.0
47,0.8539316501572937,0.4,0.0,10.4
48,0.4703652827859579,0.25,0.0,10.2
49,1.0,0.625,0.2,14.6
50,0.36005461457723403,0.4,0.2,17.8
51,1.0,0.3333333333333333,0.0,10.2
52,0.16958010263680806,0.2,0.0,11.2
53,0.36331756126716835,0.5,0.0,4.6
54,0.8687949224876582,0.3076923076923077,0.0,9.6
55,0.9828920819566879,1.0,0.0,11.6
56,0.8539316501572937,0.4,0.0,5.6
57,0.75369761125927,0.75,0.0,7.6
58,0.3903800499921017,0.25,0.0,12.2
59,1.0,1.0,0.2,14.4
60,0.5087403079104241,0.3333333333333333,0.0,9.0
61,0.0,0.0,0.0,9.2
62,0.6131471927654584,0.5,0.0,11.8
63,0.36005461457723403,0.4,0.0,11.2
64,0.4144299250118475,0.5,0.2,14.4
65,0.8318724637288826,0.75,0.0,8.4
66,1.0,0.5,0.0,9.8
67,1.0,1.0,0.2,14.4
68,0.4912596920895758,0.42857142857142855,0.0,10.4
69,0.7653606369886217,0.6666666666666666,0.0,10.0
70,0.8687949224876582,0.4444444444444444,0.0,9.4
71,0.6992148198508501,0.6,0.2,15.4
72,0.4367467095119258,0.6666666666666666,0.0,13.2
73,0.7227265726449519,0.5,0.0,12.6
74,0.23719771276929622,0.5,0.0,14.0
75,0.5087403079104241,0.3333333333333333,0.0,13.2
76,0.5296347172140421,0.6,0.2,14.4
77,0.5531464700081437,0.3333333333333333,0.0,10.8
78,0.6131471927654584,0.5,0.2,18.4
79,0.8539316501572937,0.2857142857142857,0.0,6.8
80,0.0,0.0,0.0,10.4
81,0.5087403079104241,0.2222222222222222,0.2,18.2
82,0.3391602052736161,0.2,0.0,7.8
83,0.639945385422766,0.3333333333333333,0.0,10.6
84,0.8687949224876582,0.36363636363636365,0.0,12.8
85,0.38356636737133565,0.25,0.0,7.6
86,0.5087403079104241,0.4,0.0,12.0
87,1.0,0.38461538461538464,0.0,12.0
88,0.7227265726449519,0.5,0.2,17.6
89,0.7227265726449519,0.3333333333333333,0.2,18.6
90,0.8687949224876582,0.6666666666666666,0.0,12.2
91,0.830419897363192,0.6666666666666666,0.4,15.6
92,0.3065735963827292,0.5,0.2,17.0
93,0.4703652827859579,0.3333333333333333,0.0,8.8
94,1.0,1.0,0.0,11.0
95,0.6843515475204855,0.5,0.0,8.8
96,0.8048099750039491,0.75,0.0,9.0
97,0.5087403079104241,0.3333333333333333,0.0,14.4
98,0.5,1.0,0.0,8.0
99,0.7860137352654724,0.3076923076923077,0.2,15.8
100,0.0,0.0,0.0,8.8
101,1.0,0.3125,0.2,18.2
102,0.23719771276929622,0.5,0.2,14.0
103,0.48522855511632257,0.2857142857142857,0.4,17.6
104,0.7860137352654724,0.6666666666666666,0.0,10.4
105,0.3391602052736161,0.2,0.2,15.8
106,0.48522855511632257,0.25,0.0,9.2
107,0.6608397947263839,0.8,0.2,18.0
109,0.5531464700081437,0.18181818181818182,0.2,15.6
110,0.639945385422766,0.5,0.4,27.0
111,0.48522855511632257,0.2857142857142857,0.4,16.4
112,0.8503449055347546,1.0,0.0,10.4
113,0.23463936301137822,0.3333333333333333,0.0,10.2
114,0.7227265726449519,0.6,0.0,12.2
115,0.8539316501572937,0.3076923076923077,0.0,11.0
116,1.0,0.3333333333333333,0.0,9.6
117,0.639945385422766,0.375,0.0,9.4
118,0.0,0.0,0.0,6.6
119,0.6992148198508501,0.5,0.4,20.0
120,0.5585075862632192,0.5,0.2,19.6
121,0.43067655807339306,1.0,0.0,9.8
122,0.6366824387328317,0.5,0.0,10.0
123,0.46927872602275644,0.3333333333333333,0.0,9.0
124,1.0,1.0,0.0,9.4
125,0.5087403079104241,0.3333333333333333,0.0,10.2
126,1.0,0.3125,0.2,15.8
127,1.0,0.35714285714285715,0.0,8.8
128,0.46927872602275644,0.3333333333333333,0.4,18.0
129,0.8539316501572937,0.6666666666666666,0.4,24.2
130,0.6164336326286644,0.3333333333333333,0.0,12.0
131,0.6548086577531307,0.375,0.2,21.4
132,1.0,1.0,0.2,6.8
133,1.0,0.45454545454545453,0.0,12.4
134,0.6992148198508501,0.5,0.0,13.0
135,0.830419897363192,0.36363636363636365,0.2,17.0
136,1.0,0.38461538461538464,0.4,25.0
137,0.6309297535714575,1.0,0.2,16.0
139,0.7227265726449519,0.375,0.2,20.0
140,0.7095272044910244,0.75,0.2,12.8
141,0.830419897363192,0.2857142857142857,0.0,9.8
142,0.5654495432396527,0.75,0.6,26.0
143,0.7860137352654724,0.4444444444444444,0.4,26.4
144,0.8318724637288826,0.75,0.2,18.0
145,0.639945385422766,0.5,0.4,32.0
146,0.0,0.0,0.0,16.8
148,0.6992148198508501,0.6,0.2,21.6
149,0.20210734650054757,0.3333333333333333,0.2,13.6
150,0.6934264036172708,1.0,0.0,10.2
151,1.0,0.3125,0.2,13.0
152,1.0,1.0,0.8,38.6
153,0.639945385422766,0.6,0.0,7.2
154,1.0,0.38461538461538464,0.2,14.4
155,0.0,0.0,0.0,7.8
156,1.0,0.3333333333333333,0.0,11.0
157,1.0,0.5,0.2,12.2
158,0.5531464700081437,0.3333333333333333,0.6,35.6
159,0.34519134224686937,0.2,0.0,6.8
161,0.6548086577531307,0.42857142857142855,0.2,14.0
162,0.23719771276929622,0.5,0.6,21.2
163,0.0,0.0,0.0,6.8
164,1.0,0.45454545454545453,0.2,11.4
165,0.0,0.0,0.0,9.4
166,0.8687949224876582,0.8,0.0,7.6
167,0.0,0.0,0.0,5.8
168,0.0,0.0,0.0,10.4
169,0.6131471927654584,0.5,0.0,13.4
170,0.24630238874073,0.25,0.2,19.4
171,1.0,0.3125,0.0,11.6
172,0.8048099750039491,0.75,0.2,14.4
173,0.5531464700081437,0.4,0.2,17.0
174,0.8772153153380493,1.0,0.0,15.6
175,0.6992148198508501,0.5,0.4,19.0
176,0.8048099750039491,0.75,0.2,16.2
177,0.5087403079104241,0.2222222222222222,0.0,9.0
178,0.6182885020492784,1.0,0.0,13.2
179,0.6843515475204855,0.23076923076923078,0.0,7.4
180,1.0,0.3333333333333333,0.0,12.8
181,0.6366824387328317,0.5,0.0,11.2
182,0.13120507751234178,0.2,0.4,18.2
183,0.7095272044910244,0.75,0.0,13.6
184,0.5087403079104241,0.2857142857142857,0.2,23.4
185,1.0,1.0,0.0,8.0
186,0.6992148198508501,0.3333333333333333,0.2,10.8
187,0.38685280723454163,0.5,0.4,23.4
188,1.0,1.0,0.2,13.4
189,0.6992148198508501,0.375,0.2,19.0
190,0.8539316501572937,0.4,0.0,11.2
191,0.7227265726449519,0.23076923076923078,0.2,15.2
192,1.0,1.0,0.2,12.0
193,0.7227265726449519,0.6,0.0,8.2
194,0.8539316501572937,0.36363636363636365,0.2,19.2
195,0.8539316501572937,0.6666666666666666,0.2,16.4
196,1.0,1.0,0.2,15.2
197,0.9047172294870751,1.0,0.2,21.6
198,0.4703652827859579,0.2857142857142857,0.0,10.4
199,0.7227265726449519,0.3,0.2,17.2
200,1.0,0.38461538461538464,0.2,14.6
201,0.48522855511632257,0.3333333333333333,0.4,15.2
202,1.0,0.3333333333333333,0.2,16.4
203,0.34620964322385606,0.5,0.0,10.4
204,1.0,1.0,0.2,23.4
205,0.6992148198508501,0.5,0.0,9.2
206,0.6548086577531307,0.375,0.2,13.0
207,1.0,0.3333333333333333,0.6,27.0
208,0.639945385422766,0.5,0.2,15.8
209,1.0,0.3125,0.4,18.6
210,0.6992148198508501,0.5,0.4,25.2
211,0.36331756126716835,0.5,0.2,17.2
212,0.6548086577531307,0.25,0.4,23.0
213,0.639945385422766,0.2727272727272727,0.0,6.4
214,1.0,0.4166666666666667,0.2,15.8
215,0.8687949224876582,0.3333333333333333,0.2,21.2
216,0.46927872602275644,0.3333333333333333,0.0,8.4
217,0.7365896932159578,0.75,0.4,27.8
218,0.5531464700081437,0.16666666666666666,0.0,11.8
219,1.0,1.0,0.4,26.6
220,0.6309297535714575,1.0,0.2,13.2
221,0.787702056960637,0.75,0.4,18.4
222,1.0,0.3125,0.2,16.6
223,0.7039180890341347,0.6666666666666666,0.4,17.4
224,0.7860137352654724,0.36363636363636365,0.0,9.6
225,0.75369761125927,0.75,0.2,22.6
226,1.0,0.5,0.2,13.4
227,0.8539316501572937,0.2857142857142857,0.4,17.2
228,0.20210734650054757,0.3333333333333333,0.0,9.8
229,0.8687949224876582,0.8,0.4,24.4
230,0.6509209298071326,1.0,0.0,12.8
231,0.9674679834891693,1.0,0.0,9.8
232,0.13120507751234178,0.2,0.2,15.8
233,0.23463936301137822,0.3333333333333333,0.2,15.4
234,0.6164336326286644,0.3333333333333333,0.4,19.8
235,0.6508205185601091,0.6666666666666666,0.2,15.6
236,1.0,0.3125,0.4,21.6
237,0.27727342735504823,0.2857142857142857,0.2,13.2
238,0.8687949224876582,0.4,0.0,13.2
239,0.830419897363192,0.6666666666666666,0.4,19.8
240,0.8687949224876582,0.36363636363636365,0.4,18.2
241,1.0,1.0,0.2,11.0
242,0.34519134224686937,0.18181818181818182,0.0,8.4
243,0.8772153153380493,1.0,0.2,16.2
244,1.0,1.0,0.2,13.4
245,0.8539316501572937,0.3076923076923077,0.0,9.6
246,0.6992148198508501,0.6,0.2,15.4
247,1.0,0.35714285714285715,0.4,18.4
248,1.0,1.0,0.2,18.6
249,0.8539316501572937,0.6666666666666666,0.0,10.0
250,0.46927872602275644,0.3333333333333333,0.6,20.8
251,0.7860137352654724,0.5,0.2,17.8
253,0.0,0.0,0.0,10.8
255,0.830419897363192,0.6666666666666666,0.4,19.4
256,1.0,0.625,0.6,22.2
257,0.830419897363192,0.8,0.6,21.4
258,0.7653606369886217,0.6666666666666666,0.0,7.4
259,1.0,1.0,0.8,39.2
261,0.5296347172140421,0.3,0.2,18.8
262,1.0,0.45454545454545453,0.2,17.0
263,1.0,0.4166666666666667,0.2,15.4
264,0.8687949224876582,0.36363636363636365,0.0,13.6
265,1.0,0.4166666666666667,0.2,19.8
266,1.0,0.4166666666666667,0.2,19.6
267,0.8539316501572937,0.3333333333333333,0.2,21.2
268,0.639945385422766,0.23076923076923078,0.0,14.0
269,0.0,0.0,0.2,14.4
270,0.0,0.0,0.6,20.6
271,0.8687949224876582,0.6666666666666666,0.4,32.4
272,1.0,0.38461538461538464,0.2,25.0
273,0.2960819109658652,0.3333333333333333,0.2,13.4
274,0.639945385422766,0.375,0.4,18.4
275,0.6164336326286644,0.375,0.2,11.8
276,0.8318724637288826,0.75,0.4,26.6
277,1.0,0.3125,0.0,8.8
278,1.0,1.0,0.2,12.4
279,0.8318724637288826,0.75,0.2,16.8
280,1.0,1.0,0.2,11.0
281,0.7653606369886217,0.6666666666666666,0.2,18.4
282,1.0,0.3333333333333333,0.0,12.4
283,1.0,0.7142857142857143,0.2,15.8
284,0.6366824387328317,0.5,0.0,7.2
285,0.4703652827859579,0.3333333333333333,0.4,15.6
286,1.0,0.3125,0.2,14.0
