model,seed,bucket,recall_at_5,users
corrected_k2_stronger,7,lower-mid,0.41607445008460237,197
corrected_k2_stronger,7,upper-mid,0.5171915584415584,220
corrected_k2_stronger,7,head,0.5794905869324475,215
corrected_k2_stronger,8,tail,0.31079931972789115,196
corrected_k2_stronger,8,lower-mid,0.41395939086294414,197
corrected_k2_stronger,8,upper-mid,0.4721266233766234,220
corrected_k2_stronger,8,head,0.5572425249169435,215
corrected_k2_stronger,9,tail,0.303656462585034,196
corrected_k2_stronger,9,lower-mid,0.4058375634517767,197
corrected_k2_stronger,9,upper-mid,0.4745400432900433,220
corrected_k2_stronger,9,head,0.5633997785160576,215
corrected_k2_stronger,10,tail,0.3187925170068027,196
corrected_k2_stronger,10,lower-mid,0.45033840947546533,197
corrected_k2_stronger,10,upper-mid,0.4473863636363637,220
corrected_k2_stronger,10,head,0.5822480620155038,215
corrected_k2_stronger,11,tail,0.2981292517006803,196
corrected_k2_stronger,11,lower-mid,0.39593908629441626,197
corrected_k2_stronger,11,upper-mid,0.5034090909090909,220
corrected_k2_stronger,11,head,0.5510852713178295,215
corrected_k2_stronger,12,tail,0.30824829931972786,196
corrected_k2_stronger,12,lower-mid,0.41717428087986463,197
corrected_k2_stronger,12,upper-mid,0.46268939393939396,220
corrected_k2_stronger,12,head,0.5521373200442968,215
corrected_k2_stronger,13,tail,0.3232993197278911,196
corrected_k2_stronger,13,lower-mid,0.4075296108291032,197
corrected_k2_stronger,13,upper-mid,0.4940097402597402,220
corrected_k2_stronger,13,head,0.5717386489479512,215
corrected_k2_stronger,14,tail,0.3196428571428571,196
corrected_k2_stronger,14,lower-mid,0.422165820642978,197
corrected_k2_stronger,14,upper-mid,0.4913636363636364,220
corrected_k2_stronger,14,head,0.5560022148394241,215
corrected_k2_stronger,15,tail,0.30935374149659867,196
corrected_k2_stronger,15,lower-mid,0.43130287648054144,197
corrected_k2_stronger,15,upper-mid,0.47886904761904764,220
corrected_k2_stronger,15,head,0.564296788482835,215
corrected_k2_stronger,16,tail,0.3442176870748299,196
corrected_k2_stronger,16,lower-mid,0.43790186125211505,197
corrected_k2_stronger,16,upper-mid,0.4723809523809524,220
