comparison,mean_delta_ndcg_at_5,ci_low,ci_high,n_users
lightgcn_k1 minus zero_hop,0.0164663052339281,0.010464089148689116,0.022360465396379592,281
lightgcn_k2 minus zero_hop,0.027195993803305618,0.019193458438930302,0.035231501609062015,281
lightgcn_k3 minus zero_hop,0.03279774249408333,0.0228795326272005,0.0428728932950463,281
lightgcn_k3 minus lightgcn_k2,0.005601748690777713,0.0018864252066541408,0.00921068003266599,281
corrected_k2 minus lightgcn_k2,-0.007769982343929351,-0.012207865618859889,-0.0033803778765922614,281
corrected_k2_stronger minus lightgcn_k2,-0.009933858763320336,-0.014423157060754374,-0.005365315409035714,281
