model,k_layers,gamma,residual,ndcg_mean,ndcg_std,recall_mean,recall_std,head_share_mean,js_mean,avg_runtime_seconds
corrected_k2,2,0.35,0.2,0.6753457098055564,0.006580849143430681,0.4920893815555737,0.0069482791340945045,0.14725978647686833,0.046189466848976395,9.533849680423737
corrected_k2_stronger,2,0.7,0.2,0.6731818333861653,0.006569192506872125,0.48888283721023934,0.00829273589972851,0.14629893238434163,0.04437900406084569,9.407164442539216
lightgcn_k1,1,0.0,0.0,0.6723860035801082,0.006298053243151751,0.4902451714951715,0.0073824349226563205,0.14633451957295374,0.045251175451164395,7.977097415924073
lightgcn_k2,2,0.0,0.0,0.6831156921494858,0.0055933370109607465,0.5025995495212576,0.006629988201698145,0.15434163701067616,0.05378224843521382,9.059852802753449
lightgcn_k3,3,0.0,0.0,0.6887174408402634,0.004684872834513782,0.5096001319755767,0.006319783010630798,0.1588967971530249,0.060275601295501614,12.435396242141724
zero_hop,0,0.0,0.0,0.6559196983461801,0.008428337655739944,0.47433807246529663,0.010870540372247599,0.1390391459074733,0.04190540223606566,6.888224732875824
