dataset,model,seed,k_layers,gamma,residual,embedding_dim,epochs,batch_size,lr,weight_decay,topk,ndcg_at_5,recall_at_5,head_item_share,avg_recommended_train_degree,js_recommendation_vs_random_test,n_eval_users,runtime_seconds,used_cuda
coat,zero_hop,0,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6561227632074325,0.4707817242069911,0.1380782918149466,13.881138790035589,0.036238022089664014,281,6.947483062744141,True
coat,lightgcn_k1,0,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6746071282530223,0.490512823475457,0.14306049822064057,14.290391459074735,0.04118371791953245,281,7.793573379516602,True
coat,lightgcn_k2,0,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.689289591341772,0.5106957149216936,0.15373665480427048,14.740925266903915,0.05193849870742826,281,8.986529111862183,True
coat,lightgcn_k3,0,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6896039301676224,0.5108059546226805,0.1601423487544484,15.14661921708185,0.060786055436861545,281,12.484209537506104,True
coat,corrected_k2,0,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6799305520054958,0.49238281982943904,0.14377224199288255,14.305338078291813,0.04460391680205861,281,9.2919762134552,True
coat,corrected_k2_stronger,0,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6762169562086202,0.4938421355236302,0.14377224199288255,14.276868327402134,0.042623685951209876,281,9.364157676696777,True
coat,zero_hop,1,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6527389116450825,0.4721432728995007,0.13594306049822066,14.04697508896797,0.03989331329332454,281,6.672585964202881,True
coat,lightgcn_k1,1,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6687209035264363,0.49220202000451113,0.14733096085409253,14.341637010676157,0.04457616668378745,281,7.77834677696228,True
coat,lightgcn_k2,1,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6790016801982791,0.5024163509483793,0.15800711743772244,14.896085409252667,0.054858130910605214,281,8.870902061462402,True
coat,lightgcn_k3,1,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6817805660496802,0.5074365976056366,0.1594306049822064,15.14021352313167,0.06270438573889639,281,12.3903968334198,True
coat,corrected_k2,1,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6701142019600518,0.48548436043987653,0.15231316725978647,14.525978647686834,0.045024207524693945,281,9.491881132125854,True
coat,corrected_k2_stronger,1,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6661756820742739,0.4864832133070567,0.1480427046263345,14.399288256227758,0.04346992162368113,281,9.399790048599243,True
coat,zero_hop,2,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6582429298415897,0.4823644969107602,0.13807829181494663,13.85338078291815,0.04003874240727103,281,6.8132617473602295,True
coat,lightgcn_k1,2,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6790814772296775,0.48959623314605527,0.15017793594306048,14.494661921708184,0.0471701025981929,281,7.901411533355713,True
coat,lightgcn_k2,2,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6874871907144902,0.5023638826574769,0.15800711743772244,14.886832740213526,0.05244040508007027,281,8.832036018371582,True
coat,lightgcn_k3,2,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6953944437654115,0.5165813773020178,0.16370106761565834,15.245551601423488,0.05866756606175023,281,12.562103986740112,True
coat,corrected_k2,2,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6781674309524609,0.487880293885632,0.15160142348754446,14.48683274021352,0.04492912500614089,281,10.040869235992432,True
coat,corrected_k2_stronger,2,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6758225938359588,0.48462378368962006,0.1501779359430605,14.479715302491101,0.04746185347928923,281,9.169463634490967,True
coat,zero_hop,3,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6687743942453205,0.4927724163934128,0.14163701067615658,14.144483985765122,0.04535582378314395,281,6.739628553390503,True
coat,lightgcn_k1,3,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6676058173860615,0.48276007800029147,0.14590747330960854,14.341637010676157,0.04450940127028965,281,7.820580005645752,True
coat,lightgcn_k2,3,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6758970281782783,0.5005834171759438,0.1572953736654804,14.830604982206408,0.05312066175917185,281,9.06476092338562,True
coat,lightgcn_k3,3,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.689214257631633,0.5189981973344963,0.16298932384341638,15.202135231316726,0.06014859548757114,281,12.426339864730835,True
coat,corrected_k2,3,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6787672791260335,0.4975071439039411,0.15302491103202848,14.522419928825624,0.0462730088957964,281,9.420387506484985,True
coat,corrected_k2_stronger,3,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6815858762068225,0.49732312468077594,0.1494661921708185,14.395729537366547,0.048330611722119145,281,9.49556565284729,True
coat,zero_hop,4,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6524666022943243,0.4686141310251631,0.14306049822064057,14.188612099644129,0.04432481685944753,281,6.845812797546387,True
coat,lightgcn_k1,4,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6714396232885473,0.49241420402452435,0.1423487544483986,14.356583629893239,0.049780790134530635,281,7.813259601593018,True
coat,lightgcn_k2,4,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6851106553327726,0.5039656517859366,0.15373665480427046,14.869039145907475,0.05698935704257178,281,8.930132150650024,True
coat,lightgcn_k3,4,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.690499690542677,0.5130170985598033,0.15871886120996442,15.172953736654806,0.06265014249561231,281,12.64201831817627,True
coat,corrected_k2,4,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6795938137329658,0.49580127760732745,0.14021352313167262,14.387900355871885,0.04838634596642972,281,9.304500341415405,True
coat,corrected_k2_stronger,4,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6731433240420608,0.48972136503275293,0.14163701067615658,14.303202846975088,0.045857484980894925,281,9.507529497146606,True
coat,zero_hop,5,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6710807849172072,0.49671807532127815,0.1402135231316726,14.040569395017794,0.04410512251098869,281,6.845044136047363,True
