user_id,ndcg_at_5,recall_at_5,top5_head_share,top5_avg_train_degree
0,0.6164336326286644,0.3,0.0,10.4
1,0.38685280723454163,0.5,0.0,10.8
2,0.38364913903790027,0.6666666666666666,0.0,10.0
3,0.8687949224876582,0.5714285714285714,0.0,9.2
4,0.7227265726449519,0.3333333333333333,0.0,10.2
5,0.38356636737133565,0.4,0.6,23.2
6,0.8048099750039491,0.75,0.4,19.2
7,0.6131471927654584,0.5,0.0,8.0
8,0.34519134224686937,0.3333333333333333,0.0,13.8
9,0.830419897363192,0.6666666666666666,0.2,17.4
10,0.6992148198508501,0.6,0.4,17.8
11,0.4468535299918563,0.3,0.0,10.0
12,0.8539316501572937,0.5,0.0,8.6
13,0.6164336326286644,0.2727272727272727,0.0,8.6
14,0.36005461457723403,0.3333333333333333,0.0,10.2
15,0.6992148198508501,0.5,0.2,16.2
16,0.6309297535714575,1.0,0.0,13.4
17,0.5531464700081437,0.4,0.0,8.8
18,0.6164336326286644,0.3,0.0,8.8
19,0.6509209298071326,1.0,0.0,10.4
20,0.16812753627111746,0.25,0.0,6.2
21,1.0,0.38461538461538464,0.0,11.4
22,0.8687949224876582,0.3333333333333333,0.0,14.4
24,0.34519134224686937,0.25,0.0,6.4
25,0.7227265726449519,0.6,0.0,13.4
26,0.6992148198508501,0.2727272727272727,0.2,17.2
27,0.23719771276929622,0.5,0.2,11.8
28,0.6366824387328317,0.5,0.0,11.8
29,0.6548086577531307,0.6,0.0,10.6
30,0.8687949224876582,0.36363636363636365,0.0,8.8
31,0.5855700749881525,0.5,0.0,6.0
32,0.16958010263680806,0.16666666666666666,0.0,9.4
33,0.14606834984270645,0.16666666666666666,0.0,8.6
34,0.8687949224876582,0.8,0.0,11.8
35,1.0,0.5555555555555556,0.0,12.4
36,1.0,1.0,0.0,10.2
37,0.8048099750039491,0.75,0.0,8.0
38,0.8539316501572937,0.5714285714285714,0.0,9.8
39,0.6843515475204855,0.25,0.0,11.2
40,0.8539316501572937,0.4,0.0,11.6
41,0.5087403079104241,0.4,0.2,11.2
42,0.0,0.0,0.0,11.0
43,0.7227265726449519,0.5,0.2,13.8
44,0.6508205185601091,0.6666666666666666,0.0,6.6
45,0.15101961822780524,0.25,0.0,10.4
46,0.4703652827859579,0.3333333333333333,0.2,14.6
