model,k_layers,gamma,residual,ndcg_mean,recall_mean,head_share_mean,js_mean,runtime_seconds,n_eval_users
corrected_k2,2,0.35,0.2,0.6543477261989525,0.7068506511902739,0.17802141764405915,0.05587857337195583,64.05590271949768,3922.0
corrected_k2_stronger,2,0.7,0.2,0.6468480188904819,0.7009674769108731,0.18021417644059154,0.060659694880832775,62.287803649902344,3922.0
lightgcn_k1,1,0.0,0.0,0.679360392667455,0.7262540168200545,0.1738398776134625,0.04573711146506537,52.6932098865509,3922.0
lightgcn_k2,2,0.0,0.0,0.6734773891850833,0.7292988068931464,0.18240693523712392,0.060944094184744606,61.076274156570435,3922.0
lightgcn_k3,3,0.0,0.0,0.6600615460591601,0.7167161433670868,0.18939316675165732,0.07416637032000815,69.43030166625977,3922.0
zero_hop,0,0.0,0.0,0.6528208087267364,0.6999428336692488,0.1677205507394187,0.03505423058959403,43.69683837890625,3922.0
